Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
D. Bachmann;26;Austria;70;Watford;1.6M;Right;26;GK
A. Consigli;34;Italy;81;U.S. Sassuolo Calcio;4.4M;Right;47;GK
D. Azcona;37;Ecuador;67;Club River Plate Asunción;110K;Right;13;GK
21 Moyá;36;Spain;77;Real Sociedad;1.2M;Right;13;GK
V. Babacan;32;Turkey;71;İstanbul Başakşehir FK;925K;Right;1;GK
J. Bond;28;England;68;LA Galaxy;1M;Right;1;GK
R. Boffin;33;Belgium;71;Antalyaspor;600K;Right;25;GK
K. Lamprou;29;Greece;72;PEC Zwolle;1.6M;Left;1;GK
16 Weverton;27;Brazil;77;Club Athletico Paranaense;5.5M;Right;12;GK
21 N. Navarro;35;Argentina;69;Arsenal de Sarandí;150K;Right;1;GK
R. Colvin;18;Austria;51;Bolton Wanderers;130K;Right;46;CB
Samuel Portugal;27;Brazil;71;Portimonense SC;2M;Left;94;GK
L. Macari;19;Scotland;51;Stoke City;130K;Right;40;CB
K. Swaleh;18;Norway;50;FK Bodø/Glimt;130K;Right;31;RW
K. Hayde;19;England;51;Tranmere Rovers;130K;Right;24;CB
M. Esser;33;Germany;72;VfL Bochum 1848;750K;Right;21;GK
J. Ledesma;28;Argentina;77;Cádiz CF;9.5M;Right;1;GK
David Gil;27;Spain;68;Cádiz CF;1.1M;Left;13;GK
19 T. Queen;19;Scotland;54;Kilmarnock;130K;Right;38;CB
A. Paschalakis;31;Greece;72;PAOK;1.2M;Right;31;GK
M. Dituro;34;Argentina;75;RC Celta de Vigo;950K;Right;1;GK
B. Samba;27;Congo;73;Nottingham Forest;3M;Left;30;GK
S. Gonda;32;Japan;70;Shimizu S-Pulse;800K;Right;37;GK
E. Mulder;32;Netherlands;69;SC Heerenveen;700K;Right;1;GK
Diego López;39;Spain;77;RCD Espanyol de Barcelona;1.2M;Right;13;GK
A. Montero;26;Colombia;72;Club Deportes Tolima;2.7M;Right;31;GK
20 T. Kraft;30;Germany;75;Hertha BSC;4.5M;Right;1;GK
J. Leca;35;France;75;Racing Club de Lens;625K;Right;16;GK
C. Coosemans;28;Belgium;68;RSC Anderlecht;950K;Right;26;GK
S. Sluga;28;Croatia;68;Luton Town;1.1M;Right;12;GK
G. Lux;39;Argentina;69;River Plate;150K;Right;14;GK
G. Makaridze;31;Georgia;75;Unión Deportiva Almería;3M;Right;1;GK
L. Sepe;29;Italy;77;Parma;7M;Left;99;GK
Volpi;28;Brazil;66;Club Atlético Peñarol;725K;Right;5;GK
A. Leone;17;United States;53;Los Angeles FC;275K;Right;28;CB
Raphaelinho Anjos;33;Brazil;82;RB Bragantino;10M;Right;1;GK
Caro;27;Spain;70;Burgos CF;1.6M;Right;13;GK
18 M. Storari;40;Italy;76;AC Milan;525K;Right;30;GK
S. Dimitrievski;27;North Macedonia;75;Rayo Vallecano;6M;Right;13;GK
L. Southwood;23;England;66;Reading;1.6M;Right;22;GK
16 Victor;32;Brazil;79;Clube Atlético Mineiro;7.5M;Left;1;GK
J. Haugaard;29;Denmark;66;AIK;650K;Left;31;GK
D. Randolph;34;Republic of Ireland;75;West Ham United;950K;Right;35;GK
L. Hrádecký;31;Finland;83;Bayer 04 Leverkusen;19M;Right;1;GK
S. Rochet;28;Uruguay;76;Club Nacional de Football;6.5M;Right;1;GK
H. Koffi;24;Burkina Faso;73;Royal Charleroi S.C.;3.7M;Right;16;GK
D. Léon;28;France;68;AJ Auxerre;1M;Right;16;GK
08 O. Kahn;38;Germany;87;FC Bayern München;0;Right;1;GK
21 M. Bassam;29;Egypt;65;;0;Right;20;GK
P. Kühn;28;Germany;70;VfL Osnabrück;1.1M;Right;22;GK
A. Nübel;24;Germany;75;AS Monaco;7M;Right;16;GK
F. Forster;33;England;75;Southampton;1.8M;Right;44;GK
C. Irwin;32;United States;64;Colorado Rapids;300K;Right;1;GK
D. Ospina;32;Colombia;79;Napoli;8.5M;Right;25;GK
Kwoun Sun Tae;36;Korea Republic;65;Kashima Antlers;80K;Right;1;GK
O. Kolář;26;Czech Republic;78;SK Slavia Praha;15M;Right;1;GK
M. Díaz;35;Argentina;75;Club Atlético Huracán;625K;Right;1;GK
S. Marinović;29;New Zealand;68;;0;Right;1;GK
N. Haikin;25;Russia;68;FK Bodø/Glimt;1.4M;Right;12;GK
J. Hull;18;England;50;Rotherham United;100K;Right;35;CB
C. Bonilla;28;Colombia;68;La Equidad;1.1M;Right;1;GK
D. Mitov;24;Bulgaria;63;Cambridge United;575K;Right;1;GK
M. Fraisl;28;Austria;71;FC Schalke 04;1.6M;Right;30;GK
W. Aguerre;28;Uruguay;68;Gallos Blancos de Querétaro;1M;Right;1;GK
R. Olsen;31;Sweden;76;Sheffield United;4M;Right;1;GK
I. Provedel;27;Italy;74;Spezia;3.9M;Right;94;GK
J. Corona;40;Mexico;75;Cruz Azul;625K;Right;1;GK
I. Meslier;21;France;77;Leeds United;20.5M;Left;1;GK
A. Blake;30;Jamaica;76;Philadelphia Union;5M;Right;18;GK
Gabri Prestão;29;Brazil;79;Internacional;12M;Right;44;GK
B. Reynet;30;France;73;Dijon FCO;2M;Right;30;GK
C. Álvarez;35;Argentina;74;Real Zaragoza;475K;Right;1;GK
21 Cássio;39;Brazil;75;Al Taawoun;625K;Right;1;GK
B. Costil;33;France;79;FC Girondins de Bordeaux;5.5M;Right;1;GK
20 D. Benaglio;35;Switzerland;74;AS Monaco;1.5M;Right;16;GK
M. Diaw;28;France;70;FC Lausanne-Sport;1.4M;Right;40;GK
Germán Parreño;28;Spain;67;UD Ibiza;875K;Right;1;GK
D. Rudd;30;England;68;Preston North End;800K;Right;1;GK
I. Austbø;36;Norway;66;Viking FK;90K;Right;1;GK
20 Y. Lodygin;29;Russia;73;Gazişehir Gaziantep F.K.;2.8M;Right;21;GK
A. Walke;38;Germany;68;FC Red Bull Salzburg;130K;Right;33;GK
S. Grytebust;31;Norway;69;Vejle Boldklub;750K;Right;13;GK
T. Gray;18;United States;51;New York City FC;150K;Right;18;CB
Léo Jardim;26;Brazil;74;LOSC Lille;4.5M;Right;30;GK
B. Hamid;30;United States;75;D.C. United;3.7M;Right;24;GK
E. Audero;24;Italy;78;U.C. Sampdoria;15M;Right;1;GK
13 R. Edmans;25;England;51;Dagenham and Redbridge;60K;Right;8;ST
R. Jarstein;36;Norway;76;Hertha BSC;825K;Right;22;GK
H. Verhulst;28;Netherlands;67;AZ Alkmaar;950K;Left;12;GK
R. Mahon;18;Republic of Ireland;48;Bohemian FC;110K;Left;30;ST
R. Salin;36;France;73;Stade Rennais FC;350K;Left;1;GK
E. Viviano;35;Italy;72;Fatih Karagümrük S.K.;250K;Left;2;GK
R. Gudiño;25;Mexico;72;Club Deportivo Guadalajara;2.2M;Right;1;GK
O. Karnezis;35;Greece;73;LOSC Lille;350K;Right;40;GK
M. Andújar;37;Argentina;73;Estudiantes de La Plata;350K;Right;21;GK
20 L. Michel;39;Mexico;64;Club Tijuana;45K;Right;21;GK
21 Q. Beunardeau;26;France;68;Gil Vicente FC;1.3M;Right;24;GK
J. Leutwiler;32;Canada;64;Oldham Athletic;300K;Right;1;GK
B. Guzan;36;United States;69;Atlanta United;150K;Left;1;GK
T. Didillon;25;France;72;KSV Cercle Brugge;2.6M;Left;1;GK
P. Sisniega;25;Mexico;65;Los Angeles FC;825K;Right;23;GK
D. Ward;28;Wales;74;Leicester City;3M;Right;12;GK
Sim Won Seong;22;Korea Republic;52;FC Seoul;150K;Right;55;CB
D. Vukovic;36;Australia;73;N.E.C. Nijmegen;350K;Right;27;GK
21 J. Borgueray;30;Ecuador;69;;0;Right;1;GK
A. Werner;25;Argentina;70;Elche CF;2M;Right;25;GK
R. Riou;33;France;68;Stade Malherbe Caen;400K;Right;1;GK
J. Steer;28;England;72;Aston Villa;1.9M;Left;12;GK
G. Lajud;27;Mexico;70;Santos Laguna;1.7M;Right;25;GK
J. Espínola;26;Paraguay;70;Godoy Cruz;1.7M;Right;12;GK
J. Brinkies;28;Germany;67;FSV Zwickau;950K;Right;1;GK
M. Al Owais;29;Saudi Arabia;70;Al Ahli;1.1M;Left;33;GK
T. Sippel;33;Germany;73;Borussia Mönchengladbach;1M;Right;21;GK
J. Mitchell;26;England;63;Hartlepool United;525K;Right;35;GK
W. Sandilands;37;South Africa;71;Orlando Pirates;210K;Right;30;GK
S. Eastwood;32;England;63;Oxford United;240K;Right;1;GK
Gabriel;28;Brazil;75;Lecce;4.5M;Right;21;GK
G. Gallon;28;France;73;ESTAC Troyes;2.6M;Right;30;GK
Javi Díaz;24;Spain;65;Sevilla FC;1.4M;Right;31;GK
A. Mehring;27;Argentina;68;Club Atlético Central Córdoba;1.2M;Right;32;GK
P. Iliev;29;Bulgaria;66;FC Dinamo 1948 Bucureşti;650K;Right;91;GK
G. Akkan;26;Turkey;72;Çaykur Rizespor;2.1M;Right;23;GK
21 S. Cartwright;19;England;49;Peterborough United;110K;Right;30;CB
N. Marsman;30;Netherlands;71;Inter Miami CF;1.2M;Right;32;GK
Óscar Whalley;27;Spain;68;CD Lugo;1.2M;Left;13;GK
21 L. Sáreda;28;Uruguay;79;;0;Right;12;GK
Jesús Ruiz;24;Spain;62;AD Alcorcón;775K;Right;35;GK
E. Kawashima;38;Japan;73;RC Strasbourg Alsace;350K;Right;16;GK
Wang Shilong;20;China PR;47;Guangzhou FC;110K;Right;20;CB
T. Wellenreuther;25;Germany;71;Willem II;2M;Right;21;GK
Lee Han Beom;19;Korea Republic;53;FC Seoul;230K;Right;45;CB
F. Altamirano;25;Argentina;66;Club Atlético Banfield;1.1M;Right;1;GK
Marafona;34;Portugal;71;Aytemiz Alanyaspor;325K;Right;28;GK
Pierrino Faria;37;Brazil;76;Santos;825K;Right;33;GK
J. Wildsmith;25;England;66;Sheffield Wednesday;1.1M;Right;28;GK
K. Dawson;29;Uruguay;75;Club Atlético Peñarol;4.7M;Right;12;GK
O. Marciano;31;Israel;70;Feyenoord;850K;Right;21;GK
D. Hernández;35;Venezuela;68;CD Tenerife;130K;Right;13;GK
K. McIntosh;27;United States;61;Sporting Kansas City;275K;Right;22;GK
C. Lampe;34;Bolivia;70;Vélez Sarsfield;275K;Right;22;GK
Joel Robles;31;Spain;76;Real Betis Balompié;4M;Right;1;GK
F. Molla;19;India;47;ATK Mohun Bagan FC;130K;Right;22;ST
17 P. Robinson;36;England;69;Burnley;450K;Right;17;GK
F. Müller;23;Germany;77;VfB Stuttgart;13M;Left;1;GK
Marcelo Grohe;34;Brazil;76;Al Ittihad;1.3M;Right;34;GK
S. George;23;England;63;Colchester United;825K;Right;29;GK
E. Bush;35;United States;66;Columbus Crew;90K;Right;24;GK
C. Gordon;38;Scotland;69;Heart of Midlothian;150K;Left;1;GK
18 T. Käßemodel;28;Germany;46;FC Erzgebirge Aue;30K;Right;29;CM
N. Vikonis;37;Uruguay;75;Mazatlán Futbol Club;625K;Left;27;GK
M. Maroši;27;Slovakia;67;Shrewsbury Town;1M;Right;1;GK
A. Bono;27;United States;67;Toronto FC;775K;Right;25;GK
M. Turner;27;United States;75;New England Revolution;5M;Right;30;GK
Varo;27;Spain;64;CD Lugo;575K;Right;1;GK
M. Stekelenburg;38;Netherlands;76;Ajax;825K;Right;1;GK
E. Hernández;38;Mexico;62;Club Necaxa;45K;Right;23;GK
M. McChrystal;37;Northern Ireland;52;Derry City;15K;Left;16;CB
R. Rúnarsson;26;Iceland;70;Oud-Heverlee Leuven;1.7M;Right;13;GK
S. Bossut;35;Belgium;70;SV Zulte Waregem;180K;Right;1;GK
L. Thomas;29;Australia;69;SønderjyskE;950K;Right;1;GK
W. Hennessey;34;Wales;74;Burnley;725K;Right;13;GK
21 R. Cierzniak;37;Poland;65;Legia Warszawa;80K;Right;33;GK
M. Rodák;24;Slovakia;73;Fulham;5M;Right;1;GK
A. Jaakkola;34;Finland;65;Bristol Rovers;120K;Right;32;GK
11 J. Dudek;37;Poland;72;Real Madrid CF;0;Left;25;GK
20 J. Gonzalez;24;United States;70;FC Dallas;1.8M;Right;1;GK
C. Dawson;25;England;66;Exeter City;925K;Right;1;GK
L. Zigi;24;Ghana;70;FC St. Gallen 1879;3.1M;Right;1;GK
B. Hamer;33;England;67;Swansea City;325K;Right;18;GK
F. Kaplan;32;Turkey;67;Adana Demirspor;500K;Right;35;GK
F. Delli Carri;22;Italy;59;US Salernitana 1919;525K;Left;99;CB
L. Skorupski;30;Poland;75;Bologna;4.2M;Right;28;GK
20 J. Højbjerg;24;Denmark;67;Esbjerg fB;800K;Left;16;GK
E. Mendy;29;Senegal;83;Chelsea;30M;Right;16;GK
T. Dähne;27;Germany;67;Holstein Kiel;875K;Right;21;GK
José Suárez;25;Spain;66;AD Alcorcón;1.1M;Right;13;GK
Jo Hyeon Woo;29;Korea Republic;75;Ulsan Hyundai FC;3.8M;Right;21;GK
J. Neal;17;United States;48;LA Galaxy;140K;Right;44;CB
Dani Martín;22;Spain;70;Málaga CF;3.1M;Right;13;GK
R. Ramírez;24;Argentina;64;Godoy Cruz;700K;Right;1;GK
Rafael;31;Brazil;71;Reading;1M;Right;33;GK
Tiago Sá;26;Portugal;72;SC Braga;2.7M;Right;12;GK
Alex Craninx;25;Belgium;66;Molde FK;875K;Right;12;GK
I. Rodríguez;28;Mexico;62;Puebla FC;325K;Right;30;GK
15 G. Frezzolini;38;Italy;63;Atalanta;60K;Right;78;GK
21 M. Grün;33;Germany;67;Borussia Mönchengladbach;325K;Right;31;GK
V. Demarconnay;38;France;70;Paris FC;180K;Right;1;GK
16 Zubikarai;31;Spain;71;CD Tondela;1.3M;Right;13;GK
Kim Seung Gyu;30;Korea Republic;69;Kashiwa Reysol;925K;Right;17;GK
S. Richey;29;United States;65;Seattle Sounders FC;550K;Right;18;GK
21 S. Sy;24;Senegal;66;CD Nacional;1.1M;Right;98;GK
Luo Junhan;17;China PR;49;Guangzhou FC;110K;Right;42;CB
20 I. Lanni;29;Italy;67;Ascoli;625K;Right;1;GK
07 S. Valakari;33;Finland;66;FC Dallas;0;Left;17;CDM
R. Zieler;32;Germany;73;Hannover 96;1.5M;Right;16;GK
M. Campagna;17;Canada;49;Vancouver Whitecaps FC;140K;Right;61;CB
R. O'Donnell;32;England;62;Bradford City;200K;Left;1;GK
K. Paulsen;17;Norway;50;Viking FK;140K;Right;34;CB
Y. Brecher;28;Switzerland;70;FC Zürich;1.5M;Right;25;GK
Luís Maximiano;22;Portugal;76;Granada CF;13M;Right;1;GK
Kang Hyeon Mu;26;Korea Republic;73;Pohang Steelers;2.9M;Right;31;GK
Raúl Lizoain;30;Spain;69;CD Mirandés;925K;Left;13;GK
B. Jones;39;Australia;69;Perth Glory;150K;Left;1;GK
Raúl Fernández;33;Spain;71;Unión Deportiva Las Palmas;600K;Right;1;GK
G. Gómez;25;Argentina;69;Racing Club;1.6M;Right;25;GK
M. Ferkranus;18;United States;52;LA Galaxy;210K;Right;70;CB
M. Gillespie;29;England;70;Newcastle United;1.3M;Right;29;GK
21 N. De Queiroz;17;Switzerland;50;FC Lugano;140K;Right;80;CB
21 L. Camp;35;Northern Ireland;64;Swindon Town;60K;Right;1;GK
L. Brănescu;27;Romania;62;FC Farul Constanța;425K;Right;94;GK
Y. van Osch;24;Netherlands;70;Fortuna Sittard;2.7M;Right;1;GK
L. Montipò;25;Italy;74;Hellas Verona;5M;Right;96;GK
O. Sail;25;New Zealand;67;Wellington Phoenix;1.1M;Right;20;GK
P. Tytoń;34;Poland;68;FC Cincinnati;210K;Right;22;GK
18 C. Carrasso;35;France;79;Galatasaray SK;3M;Right;16;GK
P. Bråtveit;25;Norway;69;Nîmes Olympique;1.5M;Right;1;GK
19 P. Čech;36;Czech Republic;81;Arsenal;2.4M;Left;1;GK
J. Bradley-Walsh;20;Republic of Ireland;48;Finn Harps;110K;Left;23;CB
M. Barovero;37;Argentina;71;Club Atlético de San Luis;210K;Right;1;GK
21 D. Bingham;30;United States;69;LA Galaxy;925K;Right;1;GK
T. Königsmann;24;Germany;65;SV Waldhof Mannheim 07;925K;Right;1;GK
S. Black;19;Republic of Ireland;48;Finn Harps;100K;Right;27;CB
J. Dahlin;34;Sweden;71;Malmö FF;325K;Right;27;GK
J. Steele;30;England;66;Brighton & Hove Albion;575K;Right;23;GK
21 D. Jensen;28;Denmark;68;New York Red Bulls;1M;Right;1;GK
16 C. Abbiati;37;Italy;75;AC Milan;1.3M;Right;32;GK
P. Leeuwenburgh;27;Netherlands;68;FC Groningen;1.1M;Right;1;GK
Juan Soriano;23;Spain;70;CD Tenerife;2.7M;Left;1;GK
G. Morris;37;England;64;Crawley Town;60K;Right;1;GK
21 A. Maisonnial;22;France;65;Paris FC;1.4M;Right;30;GK
A. Silva;37;Paraguay;71;Puebla FC;210K;Right;1;GK
André Moreira;25;Portugal;66;Grasshopper Club Zürich;1.1M;Right;1;GK
B. Białkowski;33;Poland;72;Millwall;750K;Right;33;GK
A. Noppert;27;Netherlands;63;Go Ahead Eagles;500K;Right;23;GK
A. Murić;22;Kosovo;68;Adana Demirspor;2.3M;Right;49;GK
F. Woodman;24;England;74;Newcastle United;7M;Right;27;GK
Jordi;27;Brazil;74;FC Paços de Ferreira;4.1M;Right;1;GK
S. Torrico;41;Argentina;73;San Lorenzo de Almagro;350K;Right;12;GK
K. Fickentscher;32;Switzerland;67;FC Sion;500K;Left;18;GK
G. Kobel;23;Switzerland;79;Borussia Dortmund;21.5M;Right;1;GK
15 T. Fletcher;19;England;46;Wycombe Wanderers;20K;Right;16;CB
20 T. Kessler;33;Germany;70;1. FC Köln;950K;Right;18;GK
C. Stanković;28;Austria;72;AEK Athens;2M;Right;23;GK
21 B. Sangaré;34;Côte d'Ivoire;67;;0;Right;23;GK
B. Lecomte;30;France;79;Atlético de Madrid;13M;Left;1;GK
M. van der Hart;27;Netherlands;67;Lech Poznań;875K;Left;1;GK
S. Cleveland;27;United States;62;Seattle Sounders FC;400K;Left;30;GK
19 S. Ekramy;34;Egypt;69;;0;Right;16;GK
R. Gikiewicz;33;Poland;79;FC Augsburg;5.5M;Right;1;GK
M. Johansson;22;Sweden;65;Hamburger SV;1.2M;Right;16;GK
19 Fabiano;30;Brazil;73;FC Porto;2.6M;Right;40;GK
Victorino Magela;21;Brazil;74;Bahia;3.7M;Right;22;GK
V. Barkas;27;Greece;72;Celtic;2.3M;Left;1;GK
21 Caio Secco;29;Brazil;68;Clube Sport Marítimo;925K;Right;22;GK
19 M. Bower;19;England;55;Cheltenham Town;120K;Left;18;CB
P. Bernardoni;24;France;77;Angers SCO;13M;Left;1;GK
M. Heča;30;Czech Republic;73;AC Sparta Praha;2M;Right;29;GK
A. Schwolow;29;Germany;77;Hertha BSC;8.5M;Right;1;GK
A. Kann;30;United States;66;Atlanta United;575K;Left;25;GK
20 M. Rensing;35;Germany;70;Fortuna Düsseldorf;475K;Right;1;GK
P. Abrahamsson;32;Sweden;68;BK Häcken;600K;Right;26;GK
Samu Casado;24;Spain;63;Real Valladolid CF;825K;Right;35;GK
O. Jiménez;32;Mexico;73;Club América;1.5M;Right;27;GK
D. Martin;35;England;65;West Ham United;80K;Right;25;GK
K. Roos;29;Netherlands;69;Derby County;950K;Right;21;GK
21 J. Markovič;18;Czech Republic;69;SK Slavia Praha;2.8M;Right;34;GK
17 P. Kenny;38;Republic of Ireland;63;Northampton Town;60K;Right;13;GK
Renan Ribeiro;31;Brazil;72;Sporting CP;1.2M;Right;40;GK
J. Pinto;41;Peru;63;Sport Huancayo;50K;Right;21;GK
S. Bruzzese;32;Belgium;67;KSV Cercle Brugge;500K;Left;89;GK
M. Flekken;28;Netherlands;75;Sport-Club Freiburg;4.8M;Right;26;GK
O. Kristinsson;32;Iceland;69;Olympiacos CFP;700K;Right;31;GK
J. Talbot;24;Republic of Ireland;66;Bohemian FC;1.5M;Left;1;GK
D. Phillips;26;England;71;Cardiff City;1.9M;Right;1;GK
A. Blanco;33;Mexico;69;Club León;450K;Left;1;GK
M. Müller;27;Germany;76;FC Luzern;7.5M;Right;32;GK
S. Mielitz;31;Germany;66;Viktoria Köln;450K;Right;1;GK
S. Grehan;17;Republic of Ireland;49;Bohemian FC;100K;Right;27;CB
S. Moore;26;England;59;Blackpool;230K;Right;13;GK
No Dong Geon;29;Korea Republic;67;Suwon Samsung Bluewings;700K;Right;19;GK
11 G. Coupet;37;France;75;Paris Saint-Germain;0;Right;1;GK
F. Dahmen;23;Germany;70;1. FSV Mainz 05;3.1M;Right;1;GK
D. Marshall;36;Scotland;69;Derby County;150K;Right;1;GK
19 E. Alvarado;29;Costa Rica;67;Trabzonspor;525K;Right;23;GK
D. Button;32;England;68;West Bromwich Albion;600K;Right;25;GK
B. van Leer;29;Netherlands;67;Sparta Rotterdam;775K;Right;20;GK
N. Larsen;30;Denmark;66;Silkeborg IF;650K;Right;30;GK
18 M. García;28;Argentina;70;Club Atlético Huracán;1.2M;Right;22;GK
21 M. Wright;33;England;47;Crawley Town;25K;Left;30;LB
21 D. Melo;26;Chile;63;Colo-Colo;425K;Right;25;GK
S. Moore;31;England;68;Coventry City;650K;Right;1;GK
C. Mathenia;29;Germany;70;1. FC Nürnberg;1.1M;Right;26;GK
21 J. McKeown;30;Republic of Ireland;62;Grimsby Town;275K;Right;1;GK
R. Matthews;27;England;65;Crystal Palace;650K;Right;31;GK
M. Kolke;30;Germany;70;F.C. Hansa Rostock;1.1M;Right;1;GK
20 B. Olejnik;32;Austria;63;Mansfield Town;220K;Right;12;GK
J. Lössl;32;Denmark;72;FC Midtjylland;1.2M;Right;1;GK
J. Maurer;32;United States;68;FC Dallas;600K;Left;20;GK
N. Ibáñez;39;Argentina;63;Godoy Cruz;50K;Right;23;GK
R. Elliot;35;Republic of Ireland;69;Watford;150K;Left;35;GK
21 L. Chichizola;30;Argentina;71;FC Cartagena;1.2M;Right;25;GK
D. Stockdale;35;England;67;Wycombe Wanderers;110K;Right;13;GK
P. Nardi;27;France;74;FC Lorient;4.4M;Right;30;GK
F. Bardi;29;Italy;73;Bologna;2.1M;Right;22;GK
A. Batalla;25;Argentina;71;San Lorenzo de Almagro;2.2M;Right;1;GK
S. Kırıntılı;36;Turkey;70;Aytemiz Alanyaspor;180K;Right;1;GK
21 C. Pantilimon;33;Romania;70;Denizlispor;525K;Right;29;GK
Y. Thuram;32;France;64;Amiens SC;300K;Right;16;GK
G. Woods;30;England;61;Aberdeen;220K;Right;25;GK
H. Opdal;39;Norway;64;SK Brann;60K;Right;1;GK
J. Day;30;England;63;Newport County;325K;Left;1;GK
J. Bonham;27;Republic of Ireland;65;Stoke City;650K;Right;13;GK
I. Radu;24;Romania;75;Inter;7M;Right;97;GK
E. Horvath;26;United States;71;Nottingham Forest;2M;Right;1;GK
S. Ulreich;32;Germany;75;FC Bayern München;2.8M;Right;26;GK
N. Stojišić;23;Serbia;65;Vegalta Sendai;925K;Right;22;GK
H. Konaté;26;Côte d'Ivoire;63;Valenciennes FC;425K;Right;16;GK
R. Ruiter;34;Netherlands;65;Willem II;120K;Right;1;GK
J. Lumley;26;England;67;Middlesbrough;1.2M;Right;1;GK
A. Brignoli;29;Italy;73;Panathinaikos FC;2.3M;Left;91;GK
21 Mejías;31;Spain;64;Middlesbrough;300K;Right;51;GK
J. Moulin;35;France;71;ESTAC Troyes;210K;Right;40;GK
Álvaro;23;Spain;73;Brentford;6M;Left;40;GK
B. Collins;24;England;69;Barnsley;1.7M;Right;40;GK
V. Jaroš;19;Czech Republic;62;St. Patrick's Athletic;825K;Right;1;GK
T. Boss;28;Germany;65;SV Wehen Wiesbaden;650K;Right;1;GK
21 Bernabé;27;Spain;67;Albacete BP;1M;Right;1;GK
19 B. Bellot;27;Germany;63;Brøndby IF;250K;Right;16;GK
C. Acevedo;25;Mexico;76;Santos Laguna;9.5M;Right;1;GK
A. Linde;27;Sweden;73;Molde FK;3M;Right;1;GK
J. Joronen;28;Finland;72;;0;Right;12;GK
P. Tschauner;35;Germany;71;RB Leipzig;210K;Right;13;GK
Rubén Yáñez;27;Spain;70;Getafe CF;1.5M;Right;1;GK
15 M. Bisgård;18;Denmark;50;Aalborg BK;20K;Right;34;GK
H. Lindner;30;Austria;74;FC Basel 1893;2.8M;Right;1;GK
A. Luthe;34;Germany;76;1. FC Union Berlin;1.3M;Right;1;GK
17 Jefferson;33;Brazil;80;;0;Left;23;GK
21 M. Samassa;30;Mali;73;Demir Grup Sivasspor;2M;Right;30;GK
K. Müller;30;Germany;72;1. FC Heidenheim 1846;1.6M;Right;1;GK
C. Pym;26;England;66;Peterborough United;975K;Right;1;GK
S. Henderson;33;Republic of Ireland;64;Charlton Athletic;190K;Right;30;GK
19 E. Galekovic;37;Australia;66;Melbourne City FC;45K;Right;18;GK
07 Danilo;24;Brazil;64;Gallos Blancos de Querétaro;0;Left;18;ST
L. Kelly;25;Scotland;70;Motherwell;1.9M;Right;1;GK
M. Sandberg;30;Sweden;67;Stabæk Fotball;775K;Right;12;GK
R. Allsop;29;England;68;Derby County;825K;Right;31;GK
D. Stipica;30;Croatia;71;Pogoń Szczecin;1.2M;Right;1;GK
21 Y. Pelé;37;France;72;Olympique de Marseille;250K;Right;16;GK
D. Gerken;36;England;60;Colchester United;25K;Right;1;GK
07 Nuno Mendes;28;Portugal;71;US Créteil-Lusitanos;0;Right;4;CB
B. Amos;31;England;67;Wigan Athletic;550K;Right;12;GK
19 D. Boer;37;Netherlands;67;PEC Zwolle;50K;Right;1;GK
Helton Leite;30;Brazil;78;SL Benfica;10.5M;Right;77;GK
S. Colombi;30;Italy;70;Parma;1.1M;Right;34;GK
Zhang Yu;18;China PR;50;Hebei FC;110K;Right;24;CB
Yang Han Been;29;Korea Republic;69;FC Seoul;1.1M;Right;21;GK
Ezkieta;24;Spain;66;Athletic Club de Bilbao;1M;Right;13;GK
17 Pau Torres;29;Spain;68;Real Valladolid CF;725K;Left;1;GK
S. Aresti;35;Italy;67;Cagliari;110K;Right;1;GK
18 A. Dykstra;31;United States;62;Colorado Rapids;180K;Right;50;GK
21 Z. de la Paz;25;Curacao;61;Oldham Athletic;350K;Right;20;GK
O. Jansson;30;Sweden;71;IFK Norrköping;1.4M;Right;1;GK
L. Lezzerini;26;Italy;70;Venezia FC;1.6M;Right;12;GK
S. McDermott;28;Republic of Ireland;70;Kristiansund BK;1.5M;Right;1;GK
20 M. Agazzi;34;Italy;67;US Cremonese;325K;Right;16;GK
K. Haug;23;Norway;61;Vålerenga Fotball;625K;Right;1;GK
Jairo Farnias;21;Brazil;70;Internacional;1.4M;Left;1;GK
L. Burge;28;England;66;Sunderland;725K;Left;1;GK
C. Maxwell;30;Wales;69;Blackpool;925K;Right;1;GK
Fred Aníbão;29;Brazil;76;Club Athletico Paranaense;5M;Right;1;GK
C. Rigamonti;34;Argentina;68;Club Atlético Central Córdoba;210K;Right;23;GK
M. Zetterer;25;Germany;68;SV Werder Bremen;1.4M;Right;30;GK
P. Maguire;18;Republic of Ireland;49;Sligo Rovers;110K;Right;33;CB
D. Iversen;23;Denmark;70;Preston North End;1.9M;Right;12;GK
A. Mannus;39;Northern Ireland;65;Shamrock Rovers;80K;Right;1;GK
R. Fährmann;32;Germany;74;FC Schalke 04;2.1M;Right;1;GK
21 A. Kochenkov;33;Russia;68;FC Lokomotiv Moscow;400K;Right;77;GK
S. Laiton;21;France;64;AJ Auxerre;1.1M;Right;30;GK
P. Gunnarsson;20;Iceland;64;Viking FK;1.2M;Right;30;GK
D. Odumosu;20;Republic of Ireland;58;Drogheda United;425K;Right;23;GK
A. Rebrov;37;Russia;70;Spartak Moskva;180K;Right;32;GK
D. Heuer Fernandes;28;Portugal;71;Hamburger SV;1.3M;Right;1;GK
21 S. Ujkani;31;Kosovo;69;Torino F.C.;750K;Right;18;GK
